SR NO.,11 Comae Berenices b,305.0,6165.32,4.74,2007,Gas Giant,12.096,1.29 AU,326 days,0.23,11 Com,Radial Velocity,,,12h20m43.03s,+17d47m34.3s,4742.0,2.7,19.0,Gravitation_value
677,HD 20794 d,20.0,1525.44,4.27,2011,Super Earth,22.848,0.3499 AU,90.3 days,0.0,HD 20794,Radial Velocity,90.0,,03h19m55.65s,-43d04m11.2s,5401.0,0.7,,28.69389741217178
678,HD 20794 e,20.0,1515.906,4.27,2017,Super Earth,22.735999999999997,0.509 AU,147 days,0.29,HD 20794,Radial Velocity,,,03h19m55.65s,-43d04m11.2s,5401.0,0.7,,28.796184134243372
692,HD 213885 b,156.0,2806.174,7.996,2019,Super Earth,19.544,0.02012 AU,1 days,0.0,HD 213885,Transit,80.09,9.15,22h35m56.32s,-59d51m52.1s,5978.0,1.07,1.1,72.14038898452276
696,HD 215152 b,70.0,578.0782,8.11,2018,Super Earth,13.328,0.057638 AU,5.8 days,0.0,HD 215152,Radial Velocity,,,22h43m21.30s,-06d24m03.0s,4935.0,0.77,0.73,31.955632281269676
697,HD 215152 c,70.0,546.616,8.11,2018,Super Earth,13.104,0.067393 AU,7.3 days,0.0,HD 215152,Radial Velocity,,,22h43m21.30s,-06d24m03.0s,4935.0,0.77,0.73,31.258300516419784
698,HD 215152 d,70.0,890.1578000000001,8.11,2018,Super Earth,16.576,0.08799 AU,10.9 days,0.0,HD 215152,Radial Velocity,,,22h43m21.30s,-06d24m03.0s,4935.0,0.77,0.73,31.81253787748565
699,HD 215152 e,70.0,914.3105999999999,8.11,2018,Super Earth,16.912,0.15417 AU,25.2 days,0.0,HD 215152,Radial Velocity,,,22h43m21.30s,-06d24m03.0s,4935.0,0.77,0.73,31.39023782076548
715,HD 219134 b,21.0,1506.372,5.57,2015,Super Earth,17.9424,0.03876 AU,3.1 days,0.0,HD 219134,Radial Velocity,85.05,6.34,23h13m16.98s,+57d10m06.1s,4699.0,0.81,0.78,45.94750745678113
716,HD 219134 c,21.0,1385.6080000000002,5.57,2015,Super Earth,16.923199999999998,0.0653 AU,6.8 days,0.06,HD 219134,Radial Velocity,87.28,6.95,23h13m16.98s,+57d10m06.1s,4699.0,0.81,0.78,47.50794000217194
781,HD 3167 b,154.0,1595.356,8.94,2016,Super Earth,19.04,0.0186 AU,1 days,0.0,HD 3167,Transit,,,00h34m57.52s,+04d22m53.3s,5528.0,0.94,0.87,43.2130095027307
813,HD 40307 b,42.0,1271.2,7.17,2009,Super Earth,20.496,0.0468 AU,4.3 days,0.2,HD 40307,Radial Velocity,,,05h54m04.24s,-60d01m24.5s,4956.0,0.77,,29.714364784081862
910,HD 80653 b,358.0,1779.68,9.452,2020,Super Earth,18.0656,0.0166 AU,0.7 days,0.0,HD 80653,Transit,82.1,7.4,09h21m21.42s,+14d22m04.5s,,1.18,1.22,53.54611063302562
921,HD 85512 b,37.0,1010.06374,7.67,2011,Super Earth,17.919999999999998,0.26 AU,58.4 days,0.11,HD 85512,Radial Velocity,,,09h51m07.05s,-43d30m10.0s,4300.0,0.43,0.71,30.886134712424433
925,HD 86226 c,149.0,2304.05,7.932,2020,Super Earth,24.192,0.049 AU,4 days,0.08,HD 86226,Transit,86.45,3.97,09h56m29.85s,-24d05m57.8s,5863.0,1.02,1.05,38.65797875054843
1012,HR 858 b,104.0,1589.0,6.4,2019,Super Earth,23.351999999999997,0.048 AU,3.6 days,< 0.3,HR 858,Transit,85.5,,02h51m56.25s,-30d48m52.3s,6201.0,1.15,1.31,28.613206190561726
1013,HR 858 c,104.0,1404.676,6.4,2019,Super Earth,21.7168,0.0674 AU,6 days,< 0.19,HR 858,Transit,86.23,,02h51m56.25s,-30d48m52.3s,6201.0,1.15,1.31,29.24659357145915
1025,K2-101 b,618.0,1480.948,12.957,2016,Super Earth,22.4,Unknown,14.7 days,0.1,K2-100,Transit,,,08h38m24.30s,+20d06m21.8s,6168.0,1.23,1.22,28.982414550651168
